Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Muhammad Saqib Javed ;Virtual University;Computer Science;Punjab;Tutor/Instructor;M.Phil;National College of Business Administration and Economics;Pakistan;;Cognitive Protocol Networks;
Khaqan Khawer ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;University of Central Punjab;Pakistan;2008;Computer Networks and Web development methodologies.;
Madeeha Rashid ;Virtual University;Computer Science;Punjab;Tutor/Instructor;BS;Punjab University College of Information Technology;Pakistan;;Software Engineering;MS in progress from Leads University,Lahore
Muhammad Ahmad Lodhi ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MCS;Virtual University of Pakistan;Pakistan;;Computer Science;
Asim Mehmood ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;;
Abdul Majid Khokhar ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MSc;Punjab University College of Information Technology;Pakistan;;Software Engineering;
Saeed Nasir ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Virtual University of Pakistan;Pakistan;2015;;
Sohail Aamir ;Virtual University;Computer Science;Punjab;Tutor/Instructor;M.Sc;University of the Punjab,Gujranwala;Pakistan;;Computer networks;
Jibran Khan ;Virtual University;Computer Science;Punjab;Tutor/Instructor;M.Sc;University of Peshawar;Pakistan;;Computer networks;
Fouzia Jumani ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;;;
Akmal Khan ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Virtual University of Pakistan;Pakistan;;Computer networks;
Iftikhar Ali ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;Data mining;
Waqas Ahmad ;Virtual University;Computer Science;Punjab;Tutor/Instructor;BS;Virtual University of Pakistan;Pakistan;2009;Computer Networks, Vehicular Ad-hoc Networks;
Saima Munawar ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Lahore College for Women University;Pakistan;;Artificial Intelligence,Software Engineering;PhD in progress from NCBA&E
Muhammad Saeed ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;National College of Business Administration and Economics;Pakistan;;Computer Networks;
Sonia Salman ;Virtual University;Computer Science;Punjab;Tutor/Instructor;BS;Virtual University of Pakistan;Pakistan;2008;;MS in progress
Sumbal Javaid ;Virtual University;Computer Science;Punjab;Tutor/Instructor;BS;Superior University, Lahore;Pakistan;;;
Umra Naeem ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Fatima Jinnah Women University, Rawalpindi;Pakistan;;;
Said Nabi;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Islamabad;Pakistan;;;
Asad Ullah ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MSc;;;;Wireless Sensor Networks;
Muhammad Luqman ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MCS;;;;Routing and Switching;
Qaiser Shabbir ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;Software Engineering;
Imran Akhtar ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MBS;;;;Networks, IT Telecom, Web development.;
Nabeel Amjad ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Virtual University of Pakistan;Pakistan;2015;Computer Networks;
Shafaq Nisar ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;;MS in progress
Komal Khawer ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MSc;Punjab University College of Information Technology;Pakistan;2008;Software Engineering;MS in progress
Muhammad Imran Afzal ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;Punjab University College of Information Technology;Pakistan;2015;Software Engineering;
Rizwana Noor ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;;
Taimur Karamat ;Virtual University;Computer Science;Punjab;Tutor/Instructor;M.Phil;;;;Performance Evaluation and Prediction of Wired and Wireless Networks;
Neelam Alam ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MCS;Virtual University of Pakistan;Pakistan;;Web Development;
Anum Liaquat ;Virtual University;Computer Science;Punjab;Tutor/Instructor;BSC;;;;Data Mining;MS from UET Lahore
Arif Husen ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;Networks & Security;
Mirza Jawad ul Hasnain ;Virtual University;Computer Science;Punjab;Tutor/Instructor;MS;;;;Next generation Sequencing, Statistical Data Analysis, Gene Networking;
Adeel Ashraf;University of Management and Technology;Computer Science;Punjab;Research Associate;MS;University of Management and Technology;Pakistan;;;
Dr Ghulam Mustafa;University of Management and Technology;Computer Science;Punjab;Assistant Professor;PhD;University of Engineering and Technology;Pakistan;2016;;
Hadia Tazeem;University of Management and Technology;Computer Science;Punjab;Assistant Professor;Mphil;Punjab University College of Information Technology;Pakistan;;;
Asma Naseer;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;;
Amjad Hussain Zahid;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;Government College University;Pakistan;;;
Muhammad Asif Subhani;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;Lahore University of Management Sciences;Pakistan;;;
Ayesha Khan;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;;
Ahmad Sohail Aslam;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;University of South Florida;USA;;;
Dr Adnan Shahzada;University of Management and Technology;Computer Science;Punjab;Assistant Professor;PhD;Politecnico di Milano;Italy;;;
Amjad Ali;University of Management and Technology;Computer Science;Punjab;Assistant Professor;PhD;University of Engineering and Technology;Pakistan;;;
Sheraz Naseer;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;National University of Sciences and Technology;Pakistan;;;
Bilal Hassan;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;COMSATS Institute of Information Technology;Pakistan;;;
Nabeel Sabir Khan;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;University of Central Punjab;Pakistan;;;
Fasiha Ashraf;University of Management and Technology;Computer Science;Punjab;Assistant Professor;PhD;University of Engineering and Technology;Pakistan;;;
Dr Sajid Mahmood;University of Management and Technology;Computer Science;Punjab;Assistant Professor;PhD;University of Engineering and Technology;Pakistan;;;
Tayaba Anjum;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MPhil;University of the Punjab;Pakistan;;;
Dr Yaser Daanial Khan;University of Management and Technology;Computer Science;Punjab;Associate Professor;PhD;Abdul Wali Khan University, Mardan;Pakistan;;;
Dr Muhammad Shoaib Farooq;University of Management and Technology;Computer Science;Punjab;Associate Professor;PhD;Abdul Wali Khan University, Mardan;Pakistan;;;
Dr Adnan Abid;University of Management and Technology;Computer Science;Punjab;Associate Professor;PhD;Politecnico di Milano;Italy;;;
Tehreem Yasir;University of Management and Technology;Computer Science;Punjab;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;;
Ilyas Butt;University of Management and Technology;Computer Science;Punjab;Lecturer;;;;;;
Owais Hakeem;University of Management and Technology;Computer Science;Punjab;Lecturer;;;;;;
Muhammad Saleem Akhtar;Minhaj University Lahore;CS & IT;Punjab;Chairman;MS;University of Lahore;Pakistan;;;
Dr. Muhammad Adeel Talib;Minhaj University Lahore;CS & IT;Punjab;Assistant Professor;PhD;;;;;
Muhammad Sheraz Tariq;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;Minhaj University Lahore;Pakistan;;;
Muhammad Hussain;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;University of Lahore;Pakistan;;;
Saif Bajwa;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;University of Lahore;Pakistan;;;
Sohail Irshad;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;Lahore Leads University;Pakistan;;;
Shahaan Siddique;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;University of Management and Technology;Pakistan;;;
Hafsa Khalid;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;Punjab University College of Information Technology;Pakistan;;;
Muhammad Zubair;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;Lahore Leads University;Pakistan;;;
Naveed Shah;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;University of Lahore;Pakistan;;;
Shahid Saleem;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;COMSATS Institute of Information Technology,Islamabad;Pakistan;;;
Ahmad Hassan;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;Middlesex University;UK;;;
Saqlain Ahmad;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;Beijing Institute of Technology Beijing;China;;;
Syed Younus Ali;Minhaj University Lahore;CS & IT;Punjab;Lecturer;MS;University of Lahore;Pakistan;;;
Mr. M. Ahmad Akhtar;Minhaj University Lahore;CS & IT;Punjab;I.T Manager;BCS;National College of Business Administration and Economics;Pakistan;;;
Khaver Zia;Beaconhouse National University;School of Information and Technology;Punjab;Professor/Dean;PhD;University of Manchester;UK;;Computer Control;
Shazia Rizwan;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor/HoD ;MS;University of the Punjab;Pakistan;;Educational Quality Management and Databases Design;
Syed Nouman Ali Shah;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor;MSc;University of Engineering and Technology;Pakistan;;Software Design & Architecture, Algorithms Refinement, Design Patterns & Frameworks, Enterprise Systems, Information Systems Development & Management, Knowledge Management Systems, Technology Management & Consulting, Technopreneurship, Systems Thinking.;
Natash Ali Mian;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;;Software Engineering, Requirement Engineering, Database Modeling, Software Quality Assurance, Reverse Engineering, Formal Methods, Self Adaptive Systems, Cloud Computing, Fault Tolerant Systems;PhD in progress
Huda Sarfaraz;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;;
Zubair Anwar;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor;MSc;University of Engineering and Technology,Taxila;Pakistan;;Business Processes, Strategic Management, Operations Research, Management Consultant in Strategy Planning, Operations Management, Program Management;
Sameen Reza;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor;MS;Virtual University of Pakistan;Pakistan;;;
Amna Humayun;Beaconhouse National University;School of Information and Technology;Punjab;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;;
Salman Butt;Beaconhouse National University;School of Information and Technology;Punjab;Lecturer;MS;Beaconhouse National University;Pakistan;;Finance, Business Management and Accounting;
Saad Saleem Malik;Beaconhouse National University;School of Information and Technology;Punjab;Lecturer;MS;Beaconhouse National University;Pakistan;;Research based teaching;
Tehmina Kausar;Beaconhouse National University;School of Information and Technology;Punjab;Lecturer;MS;Universtiy of Lahore;Pakistan;;;
Prof. Dr. Mohammad Ali Maud;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Professor;Ph.D;;;;"Spectral Estimation,Control Theory,Biomedical Signal Processing,Speech Processing,System Identification
";
Prof. Dr. Muhammad Shahbaz;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Professor;Ph.D;;;;Knowledge Discovery in Databases (Data Mining), Data Modelling, Artificial Intelligence, Machine Learning, Health Informatics, Text Mining,;
Dr. Khadim Hussain Asif;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Professor;Phd;;;;;
Prof. Dr. Muhammad Shoaib;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Professor;Ph.D;;;;;
Dr. Shazia Arshad;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Professor;Ph.D;;;;;
Dr. Syed Muhammad Ahsan;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;;
Dr. Irfan Ullah Ch.;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;;
Dr. Amjad Farooq;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;;
Dr. Muhammad Afzal;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;"Natural Language Processing,Algorithm Analysis and Design,Speech Processing,Image Processing,Computer Programming
";
Dr. Tauqir Ahmad;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;;
Dr. Muhammad Junaid Arshad;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;"Heterogeneous Networks and Services,Network Simulation and Modeling,Network Protocols and Security,Multi-homed Networks focusing on Performance,Wireless & Mobile Communication,Telecommunication Networks
";
Dr. Muhammad Aslam;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;"Artificial Intelligence,Intelligent agents,Multiagent agents,Computer Supported Cooperative Work,E-learning,E-health,Natural Language Processing (NLP),Speech Processing,    Distributed Systems,Cloud Computing,Human Computer Interaction (HCI),Speech Processing,Image processing
";
Dr. Muhammad Faisal Hayat;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;PhD;;;;Modelling & Analysis of Computer Networks;
Dr. Yasir Saleem;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;;
Dr. Hafiz Muhammad Shahzad Asif;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;PhD;;;;Machine Learning applications in Big data;
Dr. Muhammad Usman Ghani Khan;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Associate Professor;Ph.D;;;;"Natural Language Processing, Computer Vision,Image Processing, Computer Graphics, Augmented Reality, Audio, Speech Processing, Recognition and Perception,Cloud Computing - Software Design and Security Perspectivs,Machine learning for Bioinformatics Data
";
Sh. Faisal Rashid;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;Ph.D;;;;;
Mr. Talha Waheed;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;Ph.D;;;;"Knowledge Based Systems,eHealth & eLearning
";
Dr. Ali Hammad Akbar;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;Ph.D;;;;"Emergency Management IT Framework,Urban Transportation and IT,Technology-driven Urban Sprawl Management,Commercial Applications of Wireless Networks,    Simulations for Enmasse Vocational Training
";
Dr. Syed Khaldoon Khurshid;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;PhD;;;;"Information Retrieval Systems,Human Computer Interaction,Computer Literacy in common people
";
Mr. Asim Rehmat;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;M.S;;;;"Robotics,Artificial Intelligence,Machine Learning,Automated Test Systems,Embedded Systems
";
Dr. Muhammad Awais Hassan;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;Ph.D;;;;;
Ms. Hina Khalid;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;M.Sc;;;;;
Dr. Tania Habib;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Assistant Professor;Ph.D;;;;"Digital Signal Processing,Array Signal Processing,Speech Communication,Statistical Signal Processing
";
Ahmad Awais;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Lecturer;M.Sc;;;;;
Mr. Samyan Wahla;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Lecturer;M.S;;;;"Computer Vision,Data Science,Machine Leanring
";
Ms. Sahar Waqar;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Lecturer;M.Phil;;;;;
Ms. Zaib Un Nisa;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Lecturer;M.Sc;;;;;
Atif Hussain;University of Engineering and Technology, Lahore;Computer Science & Engineering;Punjab;Lecturer;M.Sc;;;;;
Muhammad Altaf Mukati;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Vice President/Dean;PhD;Hamdard University;Pakistan;;;
Imran Amin;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Associate Professor/HoD;PhD;Loughborough University;UK;;Embedded Systems, Artificial Intelligence and Image Processing;
Asim Riaz;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;;Computing Sciences;
Husnain Mansoor Ali;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Associate Professor;PhD;University Paris;France;;Networking;
Faria Jameel;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;;Computing Sciences;PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
Muhammad Asim Ali;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MSc;University of Sunderland;UK;;Project Management;
Khurram Raza;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Lecturer;MSc;Sindh University;Pakistan;;Mathematics;
Shahzad Haroon;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;ME;NED University of Engineering And Technology;Pakistan;;Telecommunication;
Adeel Ahmed;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;University of Florida;USA;;Software Engineering and Programming;
Naveed Ghani;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;Staffordshire University;UK;;Mobile Computing;PhD in progress from ISRA University
Khalid Rasheed;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;;;
Zareen Sharf;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;National University of Sciences and Technology;Pakistan;;;
Khawaja Mohiuddin;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Assistant Professor;MS;DePaul University, Chicago;USA;;;
Ali Zaman;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Lecturer;MS;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Pakistan;;Machine Learning, TSP Optimization;
Naila Shah;Shaheed Zulfikar Ali Bhutto Institute of Science and Technology;Computing;Sindh;Lecturer;MS;University of Kent;UK;;Distributed System & Networks;
Muhammad Saleem Vighio;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Associate Professor;PhD;;Denmark;;;
 Zahid Hussain Abro;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Professor;PhD;;Austria;;;
Muhammad Ibrahim Channa;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Professor/Chairman;PhD;Asian Institute of Technology;Thailand;;;
Akhtar Hussain Jalbani;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Associate Professor;PhD;;Thailand;;;
Nazar Hussain Phulpoto;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Associate Professor;PhD;;China;;;
Rafia Naz Memon;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;PhD;;Malaysia;;;
Fiza Siyal;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;ME;Mehran University of Engineering & Technology;Pakistan;;Software Testing and Quality Assurance ;
Saifullah Memon;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;MS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;
Asghar Ali Chandio;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;MS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;Computer Vision and Pattern Recognition ;
Saima Siraj Soomro;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;MS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;
Shah Zaman;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;MS;Mohammad Ali Jinnah University;Pakistan;;;
Baqar Ali Zardari;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;MS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;
Waqas Ali Sahito;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Assistant Professor;BS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;MS in progress from QUEST
Zeeshan Rasool Memon;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Lecturer;MS;;Malaysia;;;
Ghulam Hussain Jalbani;"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCE & TECHNOLOGY,NAWABSHAH
";Computer Science;Sindh;Lecturer;BS;;;;;
Mukhtiar Ali Unar;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Professor;PhD;;;;;
Sheeraz Memon;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;PhD;;;;;
Tariq Jamil Saifullah Khanzada;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Professor;PhD;;;;;
Javed Ali Baloch;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;PhD;;;;;
Shahnawaz Talpur;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;PhD;;;;;
Liaquat Ali Thebo;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Assistant Professor;;;;;;
Naveed Ahmed Jaffari;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;;;;;;
Arbab Ali Samejo;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;;;;;;
Rizwan Badar Baloch;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;;;;;;
Adnan Ashraf Arain;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;PhD;;;;;
Noor-u-Zaman Laghari;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Associate Professor;PhD;;;;;
Bushra Naz;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Lecturer;;;;;;
Sammer Zai;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Lecturer;PhD;;;;;
Ahsan Ansari;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Lecturer;PhD;;;;;
Ali Asghar Manjotho;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Lecturer;;;;;;
Fawad Mangi;MEHRAN University of Engineering and Technology,Jamshoro;Department of Computer Systems & Software Engineering;Sindh;Lecturer;;;;;;
Noor Ahmed Shaikh;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;;PhD;;Pakistan;;;
Mumtaz Hussain Mahar;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Dean;PhD;;UK;;;
Javed Ahmed Mahar;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Associate Professor/Chairman;PhD;;Pakistan;;;
Hidayatullah Shaikh;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;MS;;Pakistan;;;
Abdul Wahid Shaikh;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;MS;;Pakistan;;;
Abdul Rauf Avesi;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;MS;;Pakistan;;;
Asadullah Kehar;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;MS;;France;;;
Masooque Ali Mahar;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;MS;;Pakistan;;;PhD in progress
Shahid Hussain Danwer;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Lecturer;MS;;Pakistan;;;
 Rafaqat Hussain Arain;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;PhD;;China;;;
Riaz Ahmed Shaikh;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;PhD;;China;;;
Samina Rajper;Shah Abdul Latif University, Khairpur;Computer Science;Sindh;Assistant Professor;PhD;Shah Abdul Latif University, Khairpur;Pakistan;;;
Mairaj Nabi Bhatti;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Assistant Professor;MS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;PhD in progress from QUEST
Marina Sherbaz Mari;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Lecturer;MS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;
Zaira Hassan Amur;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Lecturer;BS;Sindh University;Pakistan;;;MS in progress from Sindh University Jamshoro
Mohsin Amur;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Lecturer;BS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;MS in progress from QUEST
Sagheer Rajper;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Lecturer;BS;Sindh Agriculture University;Pakistan;;;MS in progress from Tondo-Jam University
Imran Ali Memon;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Lecturer;BS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;MS in progress from QUEST
Shabab Akram;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Research Associate;BS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;MS in progress from QUEST
Abdul Jabbar Brohi;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Research Associate;BS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;MS in progress from QUEST
Shahzad Khaskheli;"Shaheed Benazir Bhutto University,Shaheed Benazirabad
";Information Technology;Sindh;Research Associate;BS;Quaid-e-Awam University of Engineering, Science & Technology;Pakistan;;;MS in progress from QUEST
