,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1080,Neelam Alam ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MCS,Virtual University of Pakistan,Pakistan,,Web Development,
1081,Anum Liaquat ,Virtual University,Computer Science,Punjab,Tutor/Instructor,BSC,,,,Data Mining,MS from UET Lahore
1082,Arif Husen ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,Networks & Security,
1083,Mirza Jawad ul Hasnain ,Virtual University,Computer Science,Punjab,Tutor/Instructor,MS,,,,"Next generation Sequencing, Statistical Data Analysis, Gene Networking",
1084,Adeel Ashraf,University of Management and Technology,Computer Science,Punjab,Research Associate,MS,University of Management and Technology,Pakistan,,,
1085,Dr Ghulam Mustafa,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,2016.0,,
1086,Hadia Tazeem,University of Management and Technology,Computer Science,Punjab,Assistant Professor,Mphil,Punjab University College of Information Technology,Pakistan,,,
1087,Asma Naseer,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1088,Amjad Hussain Zahid,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,Government College University,Pakistan,,,
1089,Muhammad Asif Subhani,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,,,
1090,Ayesha Khan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1091,Ahmad Sohail Aslam,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,University of South Florida,USA,,,
1092,Dr Adnan Shahzada,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Milano,Italy,,,
1093,Amjad Ali,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,,,
1094,Sheraz Naseer,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
1095,Bilal Hassan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,,,
1096,Nabeel Sabir Khan,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,University of Central Punjab,Pakistan,,,
1097,Fasiha Ashraf,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,,,
1098,Dr Sajid Mahmood,University of Management and Technology,Computer Science,Punjab,Assistant Professor,PhD,University of Engineering and Technology,Pakistan,,,
1099,Tayaba Anjum,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MPhil,University of the Punjab,Pakistan,,,
1100,Dr Yaser Daanial Khan,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",Pakistan,,,
1101,Dr Muhammad Shoaib Farooq,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,"Abdul Wali Khan University, Mardan",Pakistan,,,
1102,Dr Adnan Abid,University of Management and Technology,Computer Science,Punjab,Associate Professor,PhD,Politecnico di Milano,Italy,,,
1103,Tehreem Yasir,University of Management and Technology,Computer Science,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1104,Ilyas Butt,University of Management and Technology,Computer Science,Punjab,Lecturer,,,,,,
1105,Owais Hakeem,University of Management and Technology,Computer Science,Punjab,Lecturer,,,,,,
1106,Muhammad Saleem Akhtar,Minhaj University Lahore,CS & IT,Punjab,Chairman,MS,University of Lahore,Pakistan,,,
1107,Dr. Muhammad Adeel Talib,Minhaj University Lahore,CS & IT,Punjab,Assistant Professor,PhD,,,,,
1108,Muhammad Sheraz Tariq,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Minhaj University Lahore,Pakistan,,,
1109,Muhammad Hussain,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1110,Saif Bajwa,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1111,Sohail Irshad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,,,
1112,Shahaan Siddique,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Management and Technology,Pakistan,,,
1113,Hafsa Khalid,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Punjab University College of Information Technology,Pakistan,,,
1114,Muhammad Zubair,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Lahore Leads University,Pakistan,,,
1115,Naveed Shah,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1116,Shahid Saleem,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,,,
1117,Ahmad Hassan,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Middlesex University,UK,,,
1118,Saqlain Ahmad,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,Beijing Institute of Technology Beijing,China,,,
1119,Syed Younus Ali,Minhaj University Lahore,CS & IT,Punjab,Lecturer,MS,University of Lahore,Pakistan,,,
1120,Mr. M. Ahmad Akhtar,Minhaj University Lahore,CS & IT,Punjab,I.T Manager,BCS,National College of Business Administration and Economics,Pakistan,,,
1121,Khaver Zia,Beaconhouse National University,School of Information and Technology,Punjab,Professor/Dean,PhD,University of Manchester,UK,,Computer Control,
1122,Shazia Rizwan,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor/HoD ,MS,University of the Punjab,Pakistan,,Educational Quality Management and Databases Design,
1123,Syed Nouman Ali Shah,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,University of Engineering and Technology,Pakistan,,"Software Design & Architecture, Algorithms Refinement, Design Patterns & Frameworks, Enterprise Systems, Information Systems Development & Management, Knowledge Management Systems, Technology Management & Consulting, Technopreneurship, Systems Thinking.",
1124,Natash Ali Mian,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Software Engineering, Requirement Engineering, Database Modeling, Software Quality Assurance, Reverse Engineering, Formal Methods, Self Adaptive Systems, Cloud Computing, Fault Tolerant Systems",PhD in progress
1125,Huda Sarfaraz,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1126,Zubair Anwar,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MSc,"University of Engineering and Technology,Taxila",Pakistan,,"Business Processes, Strategic Management, Operations Research, Management Consultant in Strategy Planning, Operations Management, Program Management",
1127,Sameen Reza,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,Virtual University of Pakistan,Pakistan,,,
1128,Amna Humayun,Beaconhouse National University,School of Information and Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1129,Salman Butt,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,,"Finance, Business Management and Accounting",
1130,Saad Saleem Malik,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Beaconhouse National University,Pakistan,,Research based teaching,
1131,Tehmina Kausar,Beaconhouse National University,School of Information and Technology,Punjab,Lecturer,MS,Universtiy of Lahore,Pakistan,,,
1132,Prof. Dr. Mohammad Ali Maud,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,"Spectral Estimation,Control Theory,Biomedical Signal Processing,Speech Processing,System Identification
",
1133,Prof. Dr. Muhammad Shahbaz,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,"Knowledge Discovery in Databases (Data Mining), Data Modelling, Artificial Intelligence, Machine Learning, Health Informatics, Text Mining,",
1134,Dr. Khadim Hussain Asif,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Phd,,,,,
1135,Prof. Dr. Muhammad Shoaib,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,,
1136,Dr. Shazia Arshad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Professor,Ph.D,,,,,
1137,Dr. Syed Muhammad Ahsan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1138,Dr. Irfan Ullah Ch.,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1139,Dr. Amjad Farooq,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1140,Dr. Muhammad Afzal,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Natural Language Processing,Algorithm Analysis and Design,Speech Processing,Image Processing,Computer Programming
",
1141,Dr. Tauqir Ahmad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1142,Dr. Muhammad Junaid Arshad,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Heterogeneous Networks and Services,Network Simulation and Modeling,Network Protocols and Security,Multi-homed Networks focusing on Performance,Wireless & Mobile Communication,Telecommunication Networks
",
1143,Dr. Muhammad Aslam,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Artificial Intelligence,Intelligent agents,Multiagent agents,Computer Supported Cooperative Work,E-learning,E-health,Natural Language Processing (NLP),Speech Processing,    Distributed Systems,Cloud Computing,Human Computer Interaction (HCI),Speech Processing,Image processing
",
1144,Dr. Muhammad Faisal Hayat,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,Modelling & Analysis of Computer Networks,
1145,Dr. Yasir Saleem,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,,
1146,Dr. Hafiz Muhammad Shahzad Asif,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,PhD,,,,Machine Learning applications in Big data,
1147,Dr. Muhammad Usman Ghani Khan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Associate Professor,Ph.D,,,,"Natural Language Processing, Computer Vision,Image Processing, Computer Graphics, Augmented Reality, Audio, Speech Processing, Recognition and Perception,Cloud Computing - Software Design and Security Perspectivs,Machine learning for Bioinformatics Data
",
1148,Sh. Faisal Rashid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,,
1149,Mr. Talha Waheed,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,"Knowledge Based Systems,eHealth & eLearning
",
1150,Dr. Ali Hammad Akbar,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,"Emergency Management IT Framework,Urban Transportation and IT,Technology-driven Urban Sprawl Management,Commercial Applications of Wireless Networks,    Simulations for Enmasse Vocational Training
",
1151,Dr. Syed Khaldoon Khurshid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,PhD,,,,"Information Retrieval Systems,Human Computer Interaction,Computer Literacy in common people
",
1152,Mr. Asim Rehmat,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,M.S,,,,"Robotics,Artificial Intelligence,Machine Learning,Automated Test Systems,Embedded Systems
",
1153,Dr. Muhammad Awais Hassan,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,,
1154,Ms. Hina Khalid,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,M.Sc,,,,,
1155,Dr. Tania Habib,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Assistant Professor,Ph.D,,,,"Digital Signal Processing,Array Signal Processing,Speech Communication,Statistical Signal Processing
",
1156,Ahmad Awais,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Sc,,,,,
1157,Mr. Samyan Wahla,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.S,,,,"Computer Vision,Data Science,Machine Leanring
",
1158,Ms. Sahar Waqar,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Phil,,,,,
1159,Ms. Zaib Un Nisa,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Sc,,,,,
1160,Atif Hussain,"University of Engineering and Technology, Lahore",Computer Science & Engineering,Punjab,Lecturer,M.Sc,,,,,
1161,Muhammad Altaf Mukati,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Vice President/Dean,PhD,Hamdard University,Pakistan,,,
1162,Imran Amin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor/HoD,PhD,Loughborough University,UK,,"Embedded Systems, Artificial Intelligence and Image Processing",
1163,Asim Riaz,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,Computing Sciences,
1164,Husnain Mansoor Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Associate Professor,PhD,University Paris,France,,Networking,
1165,Faria Jameel,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,Computing Sciences,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
1166,Muhammad Asim Ali,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MSc,University of Sunderland,UK,,Project Management,
1167,Khurram Raza,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MSc,Sindh University,Pakistan,,Mathematics,
1168,Shahzad Haroon,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,,Telecommunication,
1169,Adeel Ahmed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,University of Florida,USA,,Software Engineering and Programming,
1170,Naveed Ghani,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Staffordshire University,UK,,Mobile Computing,PhD in progress from ISRA University
1171,Khalid Rasheed,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
1172,Zareen Sharf,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
1173,Khawaja Mohiuddin,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Assistant Professor,MS,"DePaul University, Chicago",USA,,,
1174,Ali Zaman,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Machine Learning, TSP Optimization",
1175,Naila Shah,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Computing,Sindh,Lecturer,MS,University of Kent,UK,,Distributed System & Networks,
