,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
330,Mr. Sameer Akram,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MSc,"International Islamic University,Islamabad",Pakistan,,"Computer Networks, OS, Computer Architecture",MS in progress
331,Mr. Iftikhar Ali Khan,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,Data Warehousing (ETL),
332,Mr. Syed Musharaf Ali,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer/Research Associate,,,,,,
333,Mr. Raja Sher Afgun Usmani,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Senior Lab Engineer,,,,,,
334,Mr. Idrees Ahmad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lab Engineer,,,,,,
335,Dr. Mahmood Niazi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Professor,PhD,University of Technology,Australia,,,
336,Dr. Tehmina Amjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor/Acting Chairperson,PhD,"International Islamic University,Islamabad",Pakistan,,"Information Retrieval, Data Mining, Social Network Analysis, Probabilistic Topic Models, Machine Learning, Data Grids",
337,Dr. Almas Abbasi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,PhD,,,,,
338,Ms. Salma Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Requirement Engineering, Global Software Development, Project Management.",PhD in progress
339,Ms. Zakia Jalil,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,,PhD in progress
340,Ms. Asma Batool Naqvi,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,,
341,Ms. Fareeha Anwar,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MSCS,,,,"Image Processing, computer vision, Pattern Recognition",PhD in progress
342,Ms. Sadia Arshid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,,
343,Ms. Shaista Rasheed ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,2005.0,,
344,Ms. Maria Ashraf ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,Computer Networks,
345,Ms. Saima Imtiaz,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,,,
346,Ms. Saima Iqbal ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,,
347,Ms. Umara Zahid,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
348,Ms. Parkha Bashir Khan ,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,,,,"Optimization Algorithms, Network Modeling and Simulation",PhD in progress
349,Ms. Humaira Ashraf,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
350,Ms. Asma Khatoon,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,,,,,,
351,Ms. Aasma Sajjad,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,Image Processing,
352,Ms. Talat Ambreen,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Lecturer/Research Associate,,,,,,
353,Ms. Samina Bilal,"International Islamic University,Islamabad",Computer Science and Software Engineering,Capital,Assistant Director  ,BS,,,,,MS in progress
354,MUHAMAMD NAVEED ALAM,National University of Modern Languages,Computer Science,Capital,Head of Department,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2005.0,"Data Mining, Bioinformatics",
355,Dr M Hanif Zaouq,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
356,MOHAMMAD RAZA PERWEZ,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,IQRA University,Pakistan,2010.0,"Communication & Networks,Databases",
357,FAZLI SUBHAN,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
358,SAJJAD HAIDER,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,2012.0,"Indoor Positioning Systems, Mobility management,Handover in Wireless Communication.",
359,KH.MOYEEZULLAH GHORI,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,2004.0,"Databases, Data Warehousing,  Artificial Intelligence,Data structures, Algorithms",
360,HINA ALI,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
361,ATA ULLAH GHAFOOR,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,2007.0,"Wireless Sensor Networks Security, Mobile Application Development, VoIP, Cloud Computing, Next Generation Networks, IMS, VOLTE ",PhD in progress from IIU
362,DR NOMAN MALIK,National University of Modern Languages,Computer Science,Capital,Assistant Professor,PhD,"Razak School of Engineering and Advanced Technology, Universiti Teknologi Malaysia (UTM)",Malaysia,2015.0,"Human Computer Interaction (HCI), Knowledge Management , Software Project Management, Management Information System (MIS)

",
363,Dr Huma Hayat Khan,National University of Modern Languages,Computer Science,Capital,Assistant Professor,,,,,,
364,FOUZIA JAMAL GOREJA,National University of Modern Languages,Computer Science,Capital,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,2015.0,"Language Teaching, Applied linguistics (Language teaching) and Literature.",
365,ABDUL KALEEM,National University of Modern Languages,Computer Science,Capital,Lecturer,BS,National University of Modern Languages,Pakistan,2005.0,"Artificial Intelligence, Programming, algorithms,Data warehousing,Databases",
366,RANA ABDUL SAMI KHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,University of Engineering and Technology,Pakistan,2009.0,"Language Definition & Translators, Data Structures, Algorithms & Programming",
367,SARAH MAZHAR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University Institute of Information Technology,Pakistan,2006.0,,
368,MUHAMMAD EHSAN UL HAQ,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,IQRA University,Pakistan,2009.0,"Computer Networks, Communication, Operating System",
369,SAJIDA NAVEED,National University of Modern Languages,Computer Science,Capital,Lecturer,MA,National University of Modern Languages,Pakistan,2003.0,,
370,Mr Waris Ali,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
371,SAJID MUNIR,National University of Modern Languages,Computer Science,Capital,Lecturer,MCS,University of Arid Agriculture,Pakistan,2007.0,"Web Application Development, Databases, Programming",
372,Mr Waqas Hassan,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
373,Ms Fatima Khalique,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
374,ZAINAB MALIK,National University of Modern Languages,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,2013.0,"Wireless Multihop Networks, Bandwidth Estimation and Reservation,IEEE 802.11 and IEEE 802.11e",
375,Mr. Zohaib Ahmed,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
376,UNSA MASOOD SATTI,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2013.0,"Wireless Multihop Networks, Bandwidth Estimation and Reservation,IEEE 802.11 and IEEE 802.11e",
377,Ms Sidra Zafar,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
378,SOHAIL AHMED DAYO,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013.0,,
379,SHAMAILA QAYYUM,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,2012.0,"Software Engineering, Success/failure of ERP implementation, Usability, Requirements Prioritization ",PhD in progress
380,ASIM REHAN,National University of Modern Languages,Computer Science,Capital,Lecturer,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,2015.0,"Machine Learning, Data Mining, Evolutionary Algorithms, Artificial Intelligence ",
381,Uzair Iqbal,National University of Modern Languages,Computer Science,Capital,Lecturer,,,,,,
382,ADEEL AHMED,National University of Modern Languages,Computer Science,Capital,Lecturer,MPhil,Quaid-i-Azam University,Pakistan,2011.0,"Large Scale Schema Matching and Integration, Machine Learning & Pattern Recognition, Social Network Analysis, Information Retrieval Systems (Recommender Systems),Semantic Web, Software Re-engineering, Bioinformatics  ",
383,Fahad Tahir,Air University,Computer Science,Capital,Assistant Professor,PhD,Queen Mary University of London,UK,,"Computer Vision, Data Analysis , Pattern Matching, Video Surveillance, Object Tracking and Re-Identification",
384,Sheikh Muhammad Qasim,Air University,Computer Science,Capital,Professor,PhD,University of Illinois,Urbana,,,
385,Mehdi Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,,"Biomedical Image Processing and Analysis, Pattern Recognition, Machine Learning",
386,Ahmad Jalal,Air University,Computer Science,Capital,Assistant Professor,Post Doc,Pohang University of Science and Technology,South Korea,,"Multimedia design and system, Human computer interaction, Computer Vision, Artificial Intelligence, Image processing, Computer Graphics",
387,Omer Ishaq Hassan,Air University,Computer Science,Capital,Assistant Professor,PhD,Uppsala University,Sweden,,Image analysis & Deep learning,
388,Aamer Hanif,Air University,Computer Science,Capital,Assistant Professor,MS,"FAST– National University of Computer and Emerging Sciences,Islamabad",Pakistan,,"Data Mining, Quality Management, Project Management",
389,Imran Ihsan,Air University,Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Semantic Web, Ontology Engineering, Data Sciences",PhD in progress from Capital University of Science & Technology
390,Atta ur Rehman Khan,Air University,Computer Science,Capital,Associate Professor,PhD,University of Malaya,Malaysia,,"Cybersecurity, Mobile Cloud Computing, and IoT",
391,Muhammad Shafi,Air University,Computer Science,Capital,Associate Professor,PhD,Loughborough University,UK,,Computer Vision,
392,Shaharyar Kamal,Air University,Computer Science,Capital,Assistant Professor,PhD,Kyung Hee University,South Korea,,"Wireless Networks and Security, 5G and Internet of Things.",
393,Farah Haneef,Air University,Computer Science,Capital,Lecturer,Mphil,Quaid-i-Azam University,Pakistan,,"Social Networks Analysis, Software Testing, Algorithm Design and Development.","PhD in progress from  Quaid-e-Azam University, Islamabad 
"
394,Sabih Ul Hassan,Air University,Computer Science,Capital,Lecturer,MSc,,UK,,Applications of 8053 Micro Processor,
395,Mehwish Shaffiq,Air University,Computer Science,Capital,Lecturer,MSc,University of Liverpool,UK,,Software Engineering Web Technologies,
396,Faisal Fayyaz,Air University,Computer Science,Capital,Lecturer,MS,University of Sunderland,UK,,Software Engineering,
397,Asif Jamal,Air University,Computer Science,Capital,Lecturer,MS,Mid Sweden University,Sweden,,"Wireless Sensors, Cluster & Cloud Computing, Programming.",
398,Syed Atif Muqurrab,Air University,Computer Science,Capital,Lecturer,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Data Privacy, Artificial Intelligence, Digital Marketing, Web Development",PhD in progress from COMSATS
399,Sidra Siddiqui,Air University,Computer Science,Capital,Lecturer,MS,"Bahria University,Islamabad",Pakistan,,,
400,Sajid Riaz,Air University,Computer Science,Capital,Lecturer,MS,Lahore University of Management Sciences,Pakistan,,,
401,Dr. Faisal Bashir,"Bahria University,Islamabad",Computer Science,Capital,Head of Department,Post Doc,Chosun University,South Korea,2013.0,"Ad hoc Networks, Wireless Sensor Networks, Wireless Personal Area Networks and Wireless Body Area Networks",
402,Dr Muhammad Ramzan ,"Bahria University,Islamabad",Computer Science,Capital,Professor,PhD,Quaid-i-Azam University,Pakistan,2010.0,  Wave Mechanics/Fluid Mechanics,
403,Mr. Fazal Wahab,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,,,,,,
404,Mr. Rashid Karim,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,MSc,University of Sussex,UK,1991.0,"Formal Languages , Compiler Design, Quality in Education",
405,Mr. Imtiaz Ali Khan,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,,,,,,
406,Dr. Imran Ahmed Siddqui,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,Paris Descartes University,France,2009.0,,
407,Dr. Muhammad Muzammal,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2012.0,"Data Science, e-Learning, Software Engineering, Augmented/Virtual Reality",
408,Dr. Shagufta Henna,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,University of Leicester,UK,2013.0,"Mobile Ad hoc Networks, Wireless Sensor Networks (WSNs), Wireless Body Area Networks, Coverage in WSNs, Software Defined Networking, Massive Machine Type Access in Future Generation Networks, Low Power Wide Area Networks (LPWAN), Adaptive Data Rate in LPWAN, Approximation Algorithms, and NP-hard problems in Wireless Sensor Networks, Wireless Chargeable Sensor Networks",
409,Dr. Sumaira Kausar,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014.0,"Pattern recognition, image analysis, machine learning.",
410,Dr. Samabia Tahsin,"Bahria University,Islamabad",Computer Science,Capital,Senior Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,2014.0,"Digital Image Processing, Document Analysis, Computer Vision",
