,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
654,Rab Nawaz,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
655,Muhammad Tausif,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
656,Salman Fayyaz Khan,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
657,Amnah Firdous,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
658,Hina Naz,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
659,Muhammad Ali Hashmi,COMSATS-Vehari,Computer Science,Punjab,Lecturer,,,,,,
660,Muhammad Abdullah,COMSATS-Vehari,Computer Science,Punjab,Lab Engineer,,,,,,
661,Umar Rashid,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
662,Waseem Akram,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
663,Kalim Sattar,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
664,Asif Ali,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
665,Haris Ali Khan,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
666,Syeda Zoupash Zahra,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
667,Nashit Ali,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
668,Zahid Anwar,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
669,Qaizar Javed,COMSATS-Vehari,Computer Science,Punjab,Research Associate,,,,,,
670,Ayesha Raana,"Govt. College Women University,Sialkot",CS/IT,Punjab,Lecturer/HoD,MS,,,,,
671,Arfa Skandar,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
672,Farzana Younas,"Govt. College Women University,Sialkot",CS/IT,Punjab,Lecturer,MS,,,,,
673,Sehar Qayyum,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
674,Misbah Naz,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
675,Seemab Hameed,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
676,Faiza Nazeer,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
677,Sidra Anwar,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
678,Ms. Samia Rafique,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
679,Iqra Ilyas,"Govt. College Women University,Sialkot",CS/IT,Punjab,Lecturer,MS,,,,,
680,Iqra Javaid,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
681,Aqsa Bilal,"Govt. College Women University,Sialkot",CS/IT,Punjab,Associate Professor,MS,,,,,
682,Dr. Mohammad Jamil Sawar,Barani Institute of Information and Technology,Computer Science,Punjab,Professor,PhD,University of Leeds,UK,,,
683,Dr. Umair Abdullah,Barani Institute of Information and Technology,Computer Science,Punjab,Associate Professor,PhD,Foundation University,Pakistan,,,
684,Dr. Mohsin Raza,Barani Institute of Information and Technology,Computer Science,Punjab,Associate Professor,PhD,"International Islamic University,Islamabad",Pakistan,,,
685,Mr. Ikram Afzal,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor, MCS,Barani Institute of Information Technology,Pakistan,,,
686,Mr. Muhammad Asif,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,PhD,Abasyn University,Pakistan,,,"PhD in progress from Abasyn University,Pakistan
"
687,Mr. Munir Ahmad,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,,PhD in progress
688,"Mrs. Sumaira Asad,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MIT,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
689,Mr. Muhammad Ayub,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MBA,Preston,Pakistan,,,
690,"Mr. Farhan Sabir Ujager,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,PhD in progress from Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
691,Mr. Farrukh Abbas,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,COMSATS Institute of Information Technology,Pakistan,,,
692,Mrs. Maryam Amin,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,"International Islamic University,Islamabad",Pakistan,,,
693,"Mr. Naveed Ashraf,",Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,University of Bergen,Norway,,,
694,"Ms. Nadia Arif,",Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,,,,,
695,Ms. Tayyaba Baseer,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Bahria University,Pakistan,,,
696,Syeda Zer Afshan Gohar,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,,
697,Mr. Shahid Jamil,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
698,Mr. Adil Shaheen,Barani Institute of Information and Technology,Computer Science,Punjab,Assistant Professor,MS,Centre for Advanced Studies in Engineering,Pakistan,,,
699,Mr. Zahid Ahmed,Barani Institute of Information and Technology,Computer Science,Punjab,Lecturer,MCS,Pir Mehr Ali Shah Arid Agriculture University,Pakistan,,,
